Concepto,1993 |  T1,1993 |  T2,1993 |  T3,1993 |  T4,1993 |  6 Meses,1993 |  9 Meses,1993 |  Anual,1994 |  T1,1994 |  T2,1994 |  T3,1994 |  T4,1994 |  6 Meses,1994 |  9 Meses,1994 |  Anual,1995 |  T1,1995 |  T2,1995 |  T3,1995 |  T4,1995 |  6 Meses,1995 |  9 Meses,1995 |  Anual,1996 |  T1,1996 |  T2,1996 |  T3,1996 |  T4,1996 |  6 Meses,1996 |  9 Meses,1996 |  Anual,1997 |  T1,1997 |  T2,1997 |  T3,1997 |  T4,1997 |  6 Meses,1997 |  9 Meses,1997 |  Anual,1998 |  T1,1998 |  T2,1998 |  T3,1998 |  T4,1998 |  6 Meses,1998 |  9 Meses,1998 |  Anual,1999 |  T1,1999 |  T2,1999 |  T3,1999 |  T4,1999 |  6 Meses,1999 |  9 Meses,1999 |  Anual,2000 |  T1,2000 |  T2,2000 |  T3,2000 |  T4,2000 |  6 Meses,2000 |  9 Meses,2000 |  Anual,2001 |  T1,2001 |  T2,2001 |  T3,2001 |  T4,2001 |  6 Meses,2001 |  9 Meses,2001 |  Anual,2002 |  T1,2002 |  T2,2002 |  T3,2002 |  T4,2002 |  6 Meses,2002 |  9 Meses,2002 |  Anual,2003 |  T1,2003 |  T2,2003 |  T3,2003 |  T4,2003 |  6 Meses,2003 |  9 Meses,2003 |  Anual,2004 |  T1,2004 |  T2,2004 |  T3,2004 |  T4,2004 |  6 Meses,2004 |  9 Meses,2004 |  Anual,2005 |  T1,2005 |  T2,2005 |  T3,2005 |  T4,2005 |  6 Meses,2005 |  9 Meses,2005 |  Anual,2006 |  T1,2006 |  T2,2006 |  T3,2006 |  T4,2006 |  6 Meses,2006 |  9 Meses,2006 |  Anual,2007 |  T1,2007 |  T2,2007 |  T3,2007 |  T4,2007 |  6 Meses,2007 |  9 Meses,2007 |  Anual,2008 |  T1,2008 |  T2,2008 |  T3,2008 |  T4,2008 |  6 Meses,2008 |  9 Meses,2008 |  Anual,2009 |  T1,2009 |  T2,2009 |  T3,2009 |  T4,2009 |  6 Meses,2009 |  9 Meses,2009 |  Anual,2010 |  T1,2010 |  T2,2010 |  T3,2010 |  T4,2010 |  6 Meses,2010 |  9 Meses,2010 |  Anual,2011 |  T1,2011 |  T2,2011 |  T3,2011 |  T4,2011 |  6 Meses,2011 |  9 Meses,2011 |  Anual,2012 |  T1,2012 |  T2,2012 |  T3,2012 |  T4,2012 |  6 Meses,2012 |  9 Meses,2012 |  Anual,2013 |  T1,2013 |  T2,2013 |  T3,2013 |  T4,2013 |  6 Meses,2013 |  9 Meses,2013 |  Anual,2014 |  T1,2014 |  T2,2014 |  T3,2014 |  T4,2014 |  6 Meses,2014 |  9 Meses,2014 |  Anual,2015 |  T1,2015 |  T2,2015 |  T3,2015 |  T4,2015 |  6 Meses,2015 |  9 Meses,2015 |  Anual,2016 |  T1,2016 |  T2,2016 |  T3,2016 |  T4,2016 |  6 Meses,2016 |  9 Meses,2016 |  Anual,2017 |  T1,2017 |  T2,2017 |  T3,2017 |  T4,2017 |  6 Meses,2017 |  9 Meses,2017 |  Anual,2018 |  T1,2018 |  T2,2018 |  T3,2018 |  T4,2018 |  6 Meses,2018 |  9 Meses,2018 |  Anual,2019 |  T1,2019 |  T2,2019 |  T3,2019 |  T4,2019 |  6 Meses,2019 |  9 Meses,2019 |  Anual,2020 |  T1,2020 |  T2,2020 |  T3,2020 |  T4,2020 |  6 Meses,2020 |  9 Meses,2020 |  Anual,2021 |  T1 P,2021 |  T2 P,2021 |  T3 P,2021 |  T4 P,2021 |  6 Meses P,2021 |  9 Meses P,2021 |  Anual P,2022 |  T1 P,2022 |  T2 P,2022 |  T3 P,2022 |  T4 P,2022 |  6 Meses P,2022 |  9 Meses P,2022 |  Anual P,2023 |  T1 P,2023 |  T2 P,2023 |  T3 P,2023 |  T4 P,2023 |  6 Meses P,2023 |  9 Meses P,2023 |  Anual P,2024 |  T1 R,2024 |  T2 P,2024 |  T3,2024 |  T4,2024 |  6 Meses,2024 |  9 Meses,2024 |  Anual
Millones de pesos a precios de 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a  B.1bP - Producto interno bruto,13759053.96,13889145.02,13862878.87,14077352.77,13824099.49,13837025.95,13897107.65,14100080.573999997,14655082.64,14488831.89,14787062.246999998,14377581.61,14414665.03,14507764.34,14043942.17,13287443.870000001,13412238.39,13857623.549999999,13665693.02,13581208.15,13650312,14237650.1,14340821.386000002,14412887.42,15005156.934000002,14289235.74,14330452.97,14499128.96,14809591.4,15584335.623000002,15624252.001000002,16153434.161000002,15196963.51,15339393.01,15542903.3,16337214.143000001,16539597.63,16552799.274999999,16587365.487999998,16438405.89,16476537.02,16504244.13,16704973.281999998,16929118.02,17050482.21,17151190.78,16817045.65,16894857.84,16958941.08,17649705.01,17862016.74,18020884.404000003,17714811.387000002,17755860.87,17844202.05,17811854.38,17764232.95,17874019.34,17761059.865000002,17526889.777999997,17819126.15,17799770.72,17731550.48,17079137.49,18016798.15,17828003.41,17834460.01,17547967.82,17641313.01,17689599.76,17609605.88,18082663.849999998,17859147.3,18045854.59,17846134.86,17850472.34,17899317.91,18185015.46,18770260.283999998,18461379.993999995,18733374.37,18477637.87,18472218.58,18537507.53,18271688.44,19218715.2,18883270.71,19343329.14,18745201.82,18791224.78,18929250.87,19362570.76,20116112.95,19836008.96,20040523.075999998,19739341.85,19771564.22,19838803.94,19745597.365000002,20509471.92,20266835.2,20482204.664999995,20127534.64,20173968.16,20251027.29,19902921.79,20998503.909999996,20495872.626999997,20370948.402999997,20450712.85,20465766.11,20442061.68,18537259.148000002,18827563.21,19292209.62,19963698.74,18682411.18,18885677.32,19155182.68,19371870.869000003,20180561.28,20200797.992000002,20676573.45,19776216.08,19917743.38,20107450.9,20091352.13,20682934.14,20950181.65,21475374.35,20387143.14,20574822.64,20799960.57,21083780.29,21522112.946999997,21479008.35,22071206.448000003,21302946.62,21361633.86,21539027.01,21025801.02,21893508.321999997,21702816.350999996,22268119.868999995,21459654.67,21540708.57,21722561.39,21547782.609999996,22320156.23,22258188.357999995,22939644.624000005,21933969.42,22042042.4,22266442.95,22169553.567999996,22843016.78,23011745.68,23448301.003000006,22506285.18,22674772.01,22868154.26,22537035.3,23359960.388000004,23214541.79,23982425.498999998,22948497.85,23037179.16,23273490.75,23306048.433000002,23710308.475999996,23491268.09,24328804.26,23508178.46,23502541.67,23709107.31,23568469.79,24395810.58,24137286.45,24605114.693000004,23982140.18,24033855.6,24176670.38,23790259.73,24154482.01,24024913.49,24357268.303999998,23972370.87,23989885.08,24081730.88,23451299.14,19253473.97,22072323.52,23502642.418000005,21352386.56,21592365.54,22069934.76,22836889.619999997,23619437.004000004,23205162.86,23957834.97,23228163.31,23220496.49,23404831.11,23456004.25,24320625.656999998,24284767.88,25011647.542999994,23888314.96,24020465.93,24268261.33,24299159.75,25182649.593000002,25107696.16,25589859,24740904.67,24863168.5,25044841.13,24674810.72,25708480.03,,,25191645.38,,
"D.21-D.31 - Impuestos sobre los productos, netos",820362.897,811382.028,729131.85,763142.821,815872.463,786958.925,781004.899,857332.325,889314.135,820846.231,776968.426,873323.23,855830.897,836115.279,869773.109,766241.237,726708.369,725987.201,818007.173,787574.238,772177.479,853933.776,818646.195,766060.434,790755.047,836289.986,812880.135,807348.863,877307.174,908821.628,853902.107,848761.956,893064.401,880010.303,872198.216,987521.115,983903.238,897033.065,867178.979,985712.177,956152.473,933909.099,1002644.103,1019689.497,939532.313,906345.667,1011166.8,987288.638,967052.895,1052381.722,1043293.817,1009526.063,892738.894,1047837.77,1035067.201,999485.124,1145201.35,1125247.647,1018472.811,924285.928,1135224.499,1096307.269,1053301.934,1091410.334,1143428.206,1047612.108,986876.3,1117419.27,1094150.216,1067331.737,1111574.069,1164137.38,1074723.251,1028468.419,1137855.725,1116811.567,1094725.78,1156439.622,1207820.282,1109688.356,1038667.616,1182129.952,1157982.753,1128153.969,1193990.082,1256121.058,1137471.295,1081152.829,1225055.57,1195860.812,1167183.816,1261565.557,1319479.441,1202787.245,1141440.213,1290522.499,1261277.414,1231318.114,1261587.537,1317889.628,1210450.15,1114197.672,1289738.583,1263309.105,1226031.247,1300872.573,1391786.183,1257700.67,1162618.786,1346329.378,1316786.475,1278244.553,1144177.518,1137881.536,1117734.055,1095455.89,1141029.527,1133264.37,1123812.25,1131774.339,1185363.17,1101062.51,1053081.012,1158568.755,1139400.006,1117820.258,1144039.328,1182067.184,1102446.971,1072788.816,1163053.256,1142851.161,1125335.575,1180033.804,1193112.279,1118029.953,1071835.135,1186573.042,1163725.345,1140752.793,1152717.157,1192729.673,1114267.149,1063744.72,1172723.415,1153237.993,1130864.675,1182312.132,1210163.408,1130006.523,1112161.273,1196237.77,1174160.688,1158660.834,1221280.457,1268106.987,1204696.217,1188958.143,1244693.722,1231361.22,1220760.451,1252798.694,1299437.274,1231315.026,1209222.75,1276117.984,1261183.665,1248193.436,1299639.935,1335704.386,1244725.801,1209947.438,1317672.161,1293356.707,1272504.39,1326283.716,1362150.769,1278542.998,1245121.849,1344217.243,1322325.828,1303024.833,1343988.993,1362769.586,1282630.875,1243802.298,1353379.29,1329796.485,1308297.938,1294658.173,952676.973,1117438.542,1143526.409,1123667.573,1121591.229,1127075.024,1208346.239,1290884.815,1255997.871,1265712.375,1249615.527,1251742.975,1255235.325,1288801.827,1383693.975,1335518.491,1321595.483,1336247.901,1336004.764,1332402.444,1378293.485,1443683.591,1376165.583,1351236.377,1410988.538,1399380.886,1387344.759,1400791.52,1476969.634,,,1438880.577,,
a  B.1bV - Valor agregado bruto,12938691.06,13077762.993999999,13133747.02,13314209.95,13008227.03,13050067.03,13116102.76,13242748.248999998,13765768.5,13667985.66,14010093.820999999,13504258.38,13558834.14,13671649.06,13174169.065000001,12521202.633000001,12685530.02,13131636.35,12847685.85,12793633.91,12878134.52,13383716.32,13522175.191000002,13646826.99,14214401.887000002,13452945.76,13517572.83,13691780.1,13932284.22,14675513.995000001,14770349.894000001,15304672.205000002,14303899.11,14459382.7,14670705.08,15349693.03,15555694.39,15655766.209999999,15720186.508999998,15452693.71,15520384.54,15570335.03,15702329.178999998,15909428.526999999,16110949.897999998,16244845.12,15805878.85,15907569.2,15991888.18,16597323.28,16818722.92,17011358.341000002,16822072.49,16708023.1,16809134.85,16812369.26,16619031.6,16748771.69,16742587.054000001,16602603.849999998,16683901.65,16703463.45,16678248.55,15987727.15,16873369.94,16780391.297000002,16847583.71,16430548.55,16547162.8,16622268.03,16498031.81,16918526.47,16784424.051000003,17017386.17,16708279.14,16733660.78,16804592.13,17028575.84,17562440.001999997,17351691.637999997,17694706.76,17295507.92,17314235.83,17409353.56,17077698.36,17962594.15,17745799.41,18262176.31,17520146.25,17595363.97,17762067.06,18101005.2,18796633.51,18633221.711999997,18899082.862999998,18448819.36,18510286.81,18607485.82,18484009.83,19191582.29,19056385.053000003,19368006.992999997,18837796.06,18910659.06,19024996.04,18602049.22,19606717.726999998,19238171.96,19208329.62,19104383.47,19148979.63,19163817.13,17393081.630000003,17689681.67,18174475.56,18868242.85,17541381.65,17752412.95,18031370.43,18240096.53,18995198.114000004,19099735.48,19623492.435999997,18617647.32,18778343.38,18989630.64,18947312.8,19500866.96,19847734.680999998,20402585.54,19224089.88,19431971.48,19674624.99,19903746.48,20329000.667999998,20360978.39,20999371.31,20116373.58,20197908.51,20398274.21,19873083.86,20700778.648999996,20588549.201999996,21204375.148999996,20286931.26,20387470.57,20591696.72,20365470.477999996,21109992.82,21128181.834999997,21827483.351000004,20737731.65,20867881.71,21107782.12,20948273.110999998,21574909.79,21807049.47,22259342.860000007,21261591.45,21443410.79,21647393.81,21284236.61,22060523.114000004,21983226.76,22773202.748999998,21672379.86,21775995.5,22025297.31,22006408.498000003,22374604.089999996,22246542.29,23118856.82,22190506.29,22209184.96,22436602.92,22242186.071000002,23033659.81,22858743.45,23359992.844000004,22637922.94,22711529.78,22873645.54,22446270.74,22791712.42,22742282.62,23113466.005999997,22618991.58,22660088.59,22773432.95,22156640.97,18300796.99,20954884.98,22359116.009000003,20228718.98,20470774.32,20942859.74,21628543.380999997,22328552.189000003,21949164.99,22692122.59,21978547.79,21968753.52,22149595.79,22167202.43,22936931.681999996,22949249.39,23690052.059999995,22552067.06,22684461.17,22935858.89,22920866.27,23738966,23731530.57,24238622.623999998,23329916.14,23463787.62,23657496.37,23274019.2,24231510.4,,,23752764.8,,
Actividades primarias,469131.612,491945.18799999997,492499.834,529808.7790000001,480538.4,484525.545,495846.353,460415.889,525072.0040000001,456542.6710000001,537902.019,492743.947,480676.855,494983.146,453727.05399999995,493033.79199999996,501004.415,556326.176,473380.423,482588.42,501022.859,499745.892,514430.297,494418.494,571737.978,507088.095,502864.894,520083.165,501737.072,530032.4639999999,475667.19,571826.382,515884.768,502478.909,519815.777,525744.592,534956.4469999999,521291.101,563942.2370000001,530350.52,527330.713,536483.594,576999.9820000001,526691.521,504254.554,564425.799,551845.752,535982.019,543092.964,555239.6860000001,561193.975,481213.06200000003,599293.228,558216.831,532548.908,549234.988,537427.508,599395.8570000001,530879.2339999999,643598.617,568411.683,555900.866,577825.304,549329.1569999999,589179.097,525373.627,621291.567,569254.127,554627.294,571293.362,568637.26,611577.317,545133.6300000001,644565.6109999999,590107.289,575116.069,592478.455,611624.3180000001,617553.6140000001,527377.8169999999,672710.48,614588.966,585518.583,607316.557,571083.781,585893.331,548932.5409999999,648324.155,578488.556,568636.551,588558.452,592797.5590000001,644430.093,543977.7429999999,714400.2509999999,618613.826,593735.132,623901.412,618831.402,680502.853,572297.676,732924.061,649667.128,623877.31,651138.998,609458.186,698691.862,563853.1849999999,753298.764,654075.024,624001.078,656325.499,599965.7649999999,681899.1340000001,554365.53,716067.9679999999,640932.45,612076.81,638074.599,586514.444,723013.451,588283.0580000001,716262.955,654763.948,632603.651,653518.477,591331.1279999999,640002.259,589802.57,729678.03,615666.694,607045.319,637703.497,613060.8889999999,719124.955,592829.8400000001,780235.082,666092.922,641671.895,676312.692,619948.8750000001,752123.1159999999,611277.561,803468.804,686035.996,661116.517,696704.589,648341.03,768627.437,643268.0889999999,814513.041,708484.234,686745.519,718687.399,682708.5570000001,762292.3389999999,633891.813,849122.553,722500.448,692964.236,732003.816,675450.1239999998,783292.2790000001,675021.875,879614.2610000002,729371.202,711254.759,753344.635,713906.151,804166.698,677009.898,916766.774,759036.425,731694.249,777962.38,746232.9299999999,836122.9420000002,678676.9770000001,927347.229,791177.936,753677.616,797095.02,762372.9019999999,831223.1089999999,690892.534,913419.037,796798.006,761496.182,799476.896,753574.9450000001,821082.033,730577.276,928485.266,787328.489,768411.418,808429.88,757964.142,872354.123,720495.858,958021.052,815159.133,783604.708,827208.794,761147.314,868256.388,727833.783,1003407.2739999999,814701.851,785745.828,840161.19,760242.0970000001,865938.595,727358.503,957477.306,813090.346,784513.065,827754.125,742552.504,841962.988,,,792257.746,,
"11 - Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",469131.612,491945.18799999997,492499.834,529808.7790000001,480538.4,484525.545,495846.353,460415.889,525072.0040000001,456542.6710000001,537902.019,492743.947,480676.855,494983.146,453727.05399999995,493033.79199999996,501004.415,556326.176,473380.423,482588.42,501022.859,499745.892,514430.297,494418.494,571737.978,507088.095,502864.894,520083.165,501737.072,530032.4639999999,475667.19,571826.382,515884.768,502478.909,519815.777,525744.592,534956.4469999999,521291.101,563942.2370000001,530350.52,527330.713,536483.594,576999.9820000001,526691.521,504254.554,564425.799,551845.752,535982.019,543092.964,555239.6860000001,561193.975,481213.06200000003,599293.228,558216.831,532548.908,549234.988,537427.508,599395.8570000001,530879.2339999999,643598.617,568411.683,555900.866,577825.304,549329.1569999999,589179.097,525373.627,621291.567,569254.127,554627.294,571293.362,568637.26,611577.317,545133.6300000001,644565.6109999999,590107.289,575116.069,592478.455,611624.3180000001,617553.6140000001,527377.8169999999,672710.48,614588.966,585518.583,607316.557,571083.781,585893.331,548932.5409999999,648324.155,578488.556,568636.551,588558.452,592797.5590000001,644430.093,543977.7429999999,714400.2509999999,618613.826,593735.132,623901.412,618831.402,680502.853,572297.676,732924.061,649667.128,623877.31,651138.998,609458.186,698691.862,563853.1849999999,753298.764,654075.024,624001.078,656325.499,599965.7649999999,681899.1340000001,554365.53,716067.9679999999,640932.45,612076.81,638074.599,586514.444,723013.451,588283.0580000001,716262.955,654763.948,632603.651,653518.477,591331.1279999999,640002.259,589802.57,729678.03,615666.694,607045.319,637703.497,613060.8889999999,719124.955,592829.8400000001,780235.082,666092.922,641671.895,676312.692,619948.8750000001,752123.1159999999,611277.561,803468.804,686035.996,661116.517,696704.589,648341.03,768627.437,643268.0889999999,814513.041,708484.234,686745.519,718687.399,682708.5570000001,762292.3389999999,633891.813,849122.553,722500.448,692964.236,732003.816,675450.1239999998,783292.2790000001,675021.875,879614.2610000002,729371.202,711254.759,753344.635,713906.151,804166.698,677009.898,916766.774,759036.425,731694.249,777962.38,746232.9299999999,836122.9420000002,678676.9770000001,927347.229,791177.936,753677.616,797095.02,762372.9019999999,831223.1089999999,690892.534,913419.037,796798.006,761496.182,799476.896,753574.9450000001,821082.033,730577.276,928485.266,787328.489,768411.418,808429.88,757964.142,872354.123,720495.858,958021.052,815159.133,783604.708,827208.794,761147.314,868256.388,727833.783,1003407.2739999999,814701.851,785745.828,840161.19,760242.0970000001,865938.595,727358.503,957477.306,813090.346,784513.065,827754.125,742552.504,841962.988,,,792257.746,,
111 - Agricultura,279095.56,284212.034,257413.838,309406.421,281653.797,273573.811,282531.963,273166.901,323657.632,229600.899,319840.192,298412.267,275475.144,286566.406,270684.712,295232.556,287086.289,336177.308,282958.634,284334.519,297295.216,307942.409,314802.563,286998.5,351486.812,311372.486,303247.824,315307.571,312457.718,334066.658,261244.673,347270.539,323262.188,302589.683,313759.897,333743.768,333501.842,301635.903,334471.343,333622.805,322960.504,325838.214,373993.329,321323.915,279979.391,332407.117,347658.622,325098.878,326925.938,342909.721,349722.608,255141.038,356660.056,346316.165,315924.456,326108.356,325236.684,380472.244,294241.499,396147.758,352854.464,333316.809,349024.546,338191.266,367863.392,284040.098,373970.24,353027.329,330031.585,341016.249,345550.383,383290.846,301263.157,391896.937,364420.615,343368.129,355500.331,385109.626,386928.634,285697.101,418997.863,386019.13,352578.454,369183.306,348449.645,354550.335,307838.778,389114.638,351499.99,336946.253,349988.349,361105.33,407182.277,298088,448883.141,384143.804,355458.536,378814.687,378362.157,436026.047,321389.954,461662.874,407194.102,378592.719,399360.258,374424.752,450245.756,307036.521,484059.286,412335.254,377235.676,403941.579,357018.109,431609.455,291077.065,447032.695,394313.782,359901.543,381684.331,341063.914,466580.472,323870.597,441958.109,403822.193,377171.661,393368.273,348272.586,385824.923,318443.224,447012.123,367048.755,350846.911,374888.214,362824.676,453975.527,322799.683,499940.15,408400.102,379866.629,409885.009,373193.336,495160.274,348729.311,526743.991,434176.805,405694.307,435956.728,399227.364,506438.013,376192.696,533688.799,452832.689,427286.024,453886.718,425806.726,497226.585,359800.496,562179.696,461516.656,427611.269,461253.376,423219.724,519546.587,401867.923,590224.55,471383.156,448211.411,483714.696,458528.582,537202.568,395112.238,619678.948,497865.575,463614.463,502630.584,483556.474,562030.865,393259.15,626571.731,522793.67,479615.496,516354.555,497541.596,554483.855,401180.444,606969.993,526012.726,484401.965,515043.972,477416.318,540931.99,429707.988,611173.748,509174.154,482685.432,514807.511,479237.475,580550.041,415910.774,637097.622,529893.758,491899.43,528198.978,476266.262,572679.685,419313.938,677810.823,524472.974,489419.962,536517.677,472205.909,565722.464,411485.617,627200.065,518964.187,483137.997,519153.514,449124.711,536382.587,,,492753.649,,
112 - Cría y explotación de animales,161603.651,180110.935,207173.059,191062.074,170857.293,182962.548,184987.43,158966.856,173237.307,198884.391,185582.303,166102.082,177029.518,179167.714,155141.952,171261.779,185142.983,187877.461,163201.866,170515.571,174856.044,160718.503,172145.528,177750.697,187419.132,166432.016,170204.909,174508.465,158370.935,166669.736,183950.062,190010.695,162520.336,169663.578,174750.357,161797.927,171689.692,187443.511,194299.055,166743.81,173643.71,178807.546,170820.575,174994.981,191418.109,198958.799,172907.778,179077.888,184048.116,177208.633,180055.563,192836.787,206872.253,178632.098,183366.994,189243.309,181725.06,188453.246,203283.998,210711.839,185089.153,191154.101,196043.536,183213.035,190821.896,210453.016,215623.105,187017.466,194829.316,200027.763,189981.978,197559.667,211894.351,217418.676,193770.823,199811.999,204213.668,196802.575,200640.164,210910.683,217619.046,198721.37,202784.474,206493.117,195612.688,201961.296,210353.235,221391.028,198786.992,202642.406,207329.562,202297.936,206873.726,216240.302,230975.164,204585.831,208470.655,214096.782,206706.539,212753.767,222004.132,231791.495,209730.153,213821.479,218313.983,205055.541,214831.363,226632.483,234106.664,209943.452,215506.462,220156.513,211243.429,219460.958,233207.463,235066.322,215352.194,221303.95,224744.543,214645.198,223598.046,234879.545,238910.775,219121.622,224374.263,228008.391,215917.757,222477.047,240570.103,244816.257,219197.402,226321.636,230945.291,221174.897,231591.049,239389.461,244235.4,226382.973,230718.469,234097.702,217650.278,224224.964,232604.715,239456.379,220937.621,224826.652,228484.084,218259.068,228665.795,235622.519,243690.366,223462.432,227515.794,231559.437,221928.02,231966.459,241318.153,245512.496,226947.24,231737.544,235181.282,219366.321,228196.456,237155.94,244881.935,223781.389,228239.572,232400.163,220696.216,230406.932,244890.733,252476.714,225551.574,231997.96,237117.649,227158.322,235920.901,248835.395,258217.762,231539.612,237304.873,242533.095,230801.827,241044.74,255180.286,265173.915,235923.284,242342.284,248050.192,238030.043,247242.871,265518.871,273818.3,242636.457,250263.928,256152.521,243058.656,254944.17,267882.283,276944.566,249001.413,255295.036,260707.419,247644.432,259191.343,272241.482,281806.371,253417.888,259692.419,265220.907,250949.354,264193.624,279792.942,286392.218,257571.489,264978.64,270332.035,256185.805,269591.585,,,262888.695,,
113 - Aprovechamiento forestal,19793.303,18810.921,18736.955,18336.433,19302.112,19113.726,18919.403,18198.364,18918.883,19341.125,21447.105,18558.624,18819.457,19476.369,17441.718,17913.979,18523.876,19730.6,17677.849,17959.858,18402.543,20117.657,18075.794,19645.303,20625.731,19096.726,19279.585,19616.121,20332.426,19665.818,20315.415,22596.329,19999.122,20104.553,20727.497,20622.318,20676.998,22105.155,24112.733,20649.658,21134.824,21879.301,22581.383,21982.919,22717.934,21660.908,22282.151,22427.412,22235.786,25459.324,23158.074,23346.775,23859.987,24308.699,23988.058,23956.04,21725.862,22110.04,22131.003,23371.147,21917.951,21988.968,22334.513,19666.715,21399.624,20522.566,20184.822,20533.17,20529.635,20443.432,24318.625,21693.741,20006.491,22113.406,23006.183,22006.286,22033.066,20888.064,20682.243,19992.537,22857.196,20785.154,20520.948,21105.01,18084.559,19565.012,19628.554,24802.908,18824.786,19092.708,20520.258,20318.768,21177.748,19239.156,21819.263,20748.258,20245.224,20638.734,24049.539,22027.858,18327.576,23893.067,23038.699,21468.324,22074.51,20546.263,23120.91,19677.658,21011.308,21833.587,21114.944,21089.035,20915.995,20922.393,20039.426,20428.83,20919.194,20625.938,20576.661,19079.724,21394.82,19462.358,22108.726,20237.272,19978.967,20511.407,17950.593,21743.678,19328.217,22465.264,19847.136,19674.163,20371.938,18966.266,22459.068,19438.075,21411.159,20712.667,20287.803,20568.642,18629.723,21118.102,18420.43,20955.373,19873.913,19389.418,19780.907,18779.242,20881.697,19137.122,20316.51,19830.47,19599.354,19778.643,20196.807,21277.078,19244.604,20884.235,20736.943,20239.496,20400.681,19457.386,21930.234,21048.48,23217.64,20693.81,20812.033,21413.435,21799.641,23674.576,22178.29,23225.494,22737.109,22550.836,22719.5,21963.919,23563.294,22227.665,23008.262,22763.607,22584.959,22690.785,22074.727,23021.526,22060.892,23941.215,22548.127,22385.715,22774.59,24897.481,21104.378,24350.97,27344.678,23000.93,23450.943,24424.377,23311.343,23880.002,24331.97,25590.133,23595.673,23841.105,24278.362,24473.55,24408.735,24328.772,25762.431,24441.143,24403.686,24743.372,24352.449,23617.433,24022.042,26436.471,23984.941,23997.308,24607.099,24658.107,24069.096,,,24363.602,,
"114 - Pesca, caza y captura",4394.208,5189.476,5000.008,5993.225,4791.842,4861.231,5144.229,4505.493,5016.917,4893.329,6735.77,4761.205,4805.246,5287.877,5301.349,5130.464,6397.55,7784.281,5215.907,5609.788,6153.411,5596.519,5594.259,6006.467,7628.527,5595.389,5732.415,6206.443,5330.25,5915.97,6605.34,7296.844,5623.11,5950.52,6287.101,4664.132,5044.526,5483.726,7248.136,4854.329,5064.128,5610.13,4934.69,4573.546,6422.57,7766.37,4754.118,5310.269,5924.294,4943.601,4785.901,6714.305,7882.792,4864.751,5481.269,6081.65,4614.091,5067.42,7428.541,9264.116,4840.756,5703.351,6593.542,4410.046,5612.734,6779.087,7852.961,5011.39,5600.622,6163.707,4668.421,5549.418,8167.513,9190.316,5108.92,6128.451,6893.917,4493.43,5515.175,7246.535,9174.248,5004.303,5751.713,6607.347,5115.141,6269.465,7494.119,8927.379,5692.303,6292.908,6951.526,5056.202,5285.803,6474.171,8413.784,5171.003,5605.392,6307.49,5482.42,5518.717,6629.775,11130.159,5500.569,5876.971,7190.268,5111.098,6069.298,6836.86,9427.116,5590.198,6005.752,6861.093,6114.319,5963.238,6467.621,9363.683,6038.779,6181.726,6977.215,7107.197,6707.911,6137.927,9152.373,6907.554,6651.012,7276.352,5121.073,5912.703,7585.554,10746.925,5516.888,6206.443,7341.564,5531.222,6372.659,6957.126,9355.437,5951.941,6287.002,7054.111,5883.78,6146.514,7255.801,11241.889,6015.147,6428.698,7631.996,6955.253,7144.356,7791.944,11520.818,7049.805,7297.184,8353.093,9523.66,6949.769,8783.897,15033.406,8236.715,8419.109,10072.683,8779.581,7961.387,9636.006,15363.229,8370.484,8792.325,10435.051,8057.631,7255.476,9352.845,14311.505,7656.554,8221.984,9744.364,8163.681,8646.876,9250.351,12349.745,8405.279,8686.969,9602.663,6443.199,7098.611,7236.031,10428.748,6770.905,6925.947,7801.647,7271.264,6114.126,6345.837,9465.805,6692.695,6577.076,7299.258,6807.893,7279.81,7274.442,11011.399,7043.852,7120.715,8093.386,6821.978,6128.564,6848.765,10452.856,6475.271,6599.769,7563.041,6680.5,6586.958,7091.428,10712.159,6633.729,6786.295,7767.761,6904.671,6370.909,,,6637.79,,
